Line of Business,Client,Project ,Manager/Director,Project Manager,Contract Type,Status,Budget,Assigned To,Review,Internal Completion Date ,Due Date (External),BQE Project #,Region,ISO/TSO/Utility,Technology,Project Source,Notes,Column1
Generation Interconnection,DC Stream (headwaters Site Development),Plug Power T4-LOAD PSS®E STEADY STATE &  DYNAMIC MODEL UPDATE,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,000",Jonathan Ruiz,Bikram Bhandari,,24-Jun-26,403530,ERCOT,,,,TO?,
Generation Interconnection,DC Stream (headwaters Site Development),Plug Power T5-PSCAD LOAD MODEL UPDATE,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"15,000",Bikram Bhandari,Joelle Abi-Nahed,20-Jul,30-Jul-26,403530,ERCOT,,,,,
Generation Interconnection,DHI,Mitchell Plant Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,In progress,"5,000",Bikram Bhandari,,,1-Dec-26,200734,ERCOT,,PV+BESS,,dates? FIS udpate? sow?,
Generation Interconnection,"DHI Power, LLC ",200734 - Mitchell Plant Road Solar,Joelle Abi-Nahed,Joelle Abi-Nahed,Hourly,Invoice time spent at end of month,0,,,,1-Dec-26,,ERCOT,,Solar,,FOLLOW UP IN OCTOBER 2025 FOR RESTUDIES,
Generation Interconnection,"DHI Power, LLC ",Mitchell Plant Road Storage T8 - T8 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"20,000",,,,1-Dec-26,,ERCOT,,,,,
Generation Interconnection,DM renewables,Behrends storage project in Blanco County T1: FULL TRANSMISSION ANALYSIS on each project,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and closed,"4,000",Lena Barakat,Yang Zhou,10-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Lang storage project in Llano County T1: FULL TRANSMISSION ANALYSIS on each project,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and closed,"4,000",Lena Barakat,Yang Zhou,10-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Leifester storage project in Bell County Reese Creek T1: FULL TRANSMISSION ANALYSIS on each project,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and closed,"22,000",Lena Barakat,Yang Zhou,10-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Mawson storage project in Wichita County T1: FULL TRANSMISSION ANALYSIS on each project,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and closed,"4,000",Lena Barakat,Yang Zhou,10-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Moore storage project in Knox County T1: FULL TRANSMISSION ANALYSIS on each project,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and closed,"4,000",Lena Barakat,Yang Zhou,10-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Morgan storage project in Bell County Trimmier T1: FULL TRANSMISSION ANALYSIS on each project,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and closed,"4,000",Lena Barakat,Yang Zhou,10-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Paul storage project in Taylor County T1: FULL TRANSMISSION ANALYSIS on each project,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and closed,"4,000",Lena Barakat,Yang Zhou,10-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Yang storage project in Clay County T1: FULL TRANSMISSION ANALYSIS on each project,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"4,000",Lena Barakat,Yang Zhou,10-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Bell County Reese Creek (Morgan Leifester) TASK 2: ERCOT EXPEDITED SS & FIS APPLICATION -200 - oncor,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,000",Yara Karam,Lena Barakat,18-Oct,25-Oct-24,,ERCOT,,,,application not yet approved,
Generation Interconnection,DM renewables,Bell County Trimmier (Morgan) TASK 2: ERCOT EXPEDITED,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,000",Yara Karam,Lena Barakat,18-Oct,25-Oct-24,,ERCOT,,,,,
,,SS & FIS APPLICATION -250 - BEPC,,,,,,,,,,,,,,,,
Generation Interconnection,DM renewables,Bell County Trimmier (Morgan) TASK 3: ERCOT MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Yara Karam,Behzad Jandaghi,3-Jan,10-Jan-25,202355,ERCOT,,,,,
,,QUALITY TEST,,,,,,,,,,,,,,,,
Generation Interconnection,DM renewables,Blanco County (Behrends)] TASK 2: ERCOT EXPEDITED,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,000",Yara Karam,Behzad Jandaghi,18-Oct,25-Oct-24,,ERCOT,,,,approved. scoping meeting?,
,,SS & FIS APPLICATION -150 - PEC,,,,,,,,,,,,,,,,
Generation Interconnection,DM renewables,Clay County (Yang)TASK 2: ERCOT EXPEDITED,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"18,000",Lena Barakat,Behzad Jandaghi,18-Oct,25-Oct-24,,ERCOT,,,,,
,,SS & FIS APPLICATION -300 - oncor ,,,,,,,,,,,,,,,,
Generation Interconnection,DM renewables,Wichita County (Mawson) TASK 2: ERCOT EXPEDITED,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,000",Yara Karam,Behzad Jandaghi,18-Oct,25-Oct-24,,ERCOT,,,,approved. scoping meeting?,
,,SS & FIS APPLICATION -150 - Oncor,,,,,,,,,,,,,,,,
Generation Interconnection,DM renewables,Knox County (Moore)]  TASK 2: ERCOT EXPEDITED,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,000",Yara karam,Behzad Jandaghi,30-Oct,31-Oct-24,,ERCOT,,BESS,,ask if he wants scope for aspen,
,,SS & FIS APPLICATION - 75 MW AEP,,,,,,,,,,,,,,,,
Generation Interconnection,DM renewables,Taylor County (Paul}]   TASK 2: ERCOT EXPEDITED,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,000",Lena Barakat,Behzad Jandaghi,6-Nov,15-Nov-24,,ERCOT,,BESS,,Final Email : Ask if he wants scope for aspen,
,,SS & FIS APPLICATION - 200 MW AEP,,,,,,,,,,,,,,,,
Generation Interconnection,DM renewables,Bell County Reese Creek (Morgan Leifester) TASK 4: INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"8,000",Yara Karam,Lena Barakat,,1-Dec-26,,ERCOT,,,,scoping meeting 1/21/2025,
,,,,,,,,,,,,,,,,,signed FIS scope reviewed on 4/15,
,,,,,,,,,,,,,,,,,& studies underway,
Generation Interconnection,DM renewables,Bell County Trimmier (Morgan) TASK 4: INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"8,000",Yara Karam,Lena Barakat,,1-Dec-26,,ERCOT,,,,scoping meeting 11/25/2024,
,,,,,,,,,,,,,,,,,signed FIS scope & studies underway,
Generation Interconnection,DM renewables,Blanco County (Behrends)] TASK 4: INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"8,000",Yara Karam,Behzad Jandaghi,,1-Dec-26,,ERCOT,,,,scoping meeting on 1/21/2025,
,,,,,,,,,,,,,,,,,PEC to do an assessment on COD. Aspen not required,
,,,,,,,,,,,,,,,,,signed FIS scope & steady state & SC completed,
Generation Interconnection,DM renewables,Clay County (Yang) TASK 4: INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"8,000",Lena Barakat,Behzad Jandaghi,,1-Dec-26,,ERCOT,,,,scoping meeting on 2/4/2025,
,,,,,,,,,,,,,,,,,signed FIS scope & studies underway,
,,,,,,,,,,,,,,,,,The redacted stability report has now been posted to MIS,
Generation Interconnection,DM renewables,Wichita County (Mawson)  TASK 4: INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"8,000",Yara Karam,Behzad Jandaghi,,1-Dec-26,,ERCOT,,,,scoping meeting on 1/29,
,,,,,,,,,,,,,,,,,DSA not signed,
,,,,,,,,,,,,,,,,,"signed FIS scope? Oncor still has not made a decision on the path forward of this service area. I am waiting on some more information, so I cant get you an estimate on getting the DSA over to you",
Generation Interconnection,DM renewables,Knox County (Moore)]   TASK 4: INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"8,000",Yara Karam,Behzad Jandaghi,,1-Dec-26,,ERCOT,,,,scoping meeting on 3/ 4/2025,
,,,,,,,,,,,,,,,,,FIS scope  signed and executed,
,,,,,,,,,,,,,,,,,1. FIS facility study is posted to MIS.,
,,,,,,,,,,,,,,,,,2. - Steady state ETA for completion is 2/6,
,,,,,,,,,,,,,,,,,- Short circuit completed on 3/30/26,
Generation Interconnection,DM renewables,Taylor County (Paul}]    TASK 4: INTERCONNECTION SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"8,000",Lena Barakat,Behzad Jandaghi,,1-Dec-26,,ERCOT,,,,scoping meeting on 3/ 4/2025,
,,,,,,,,,,,,,,,,,FIS scope  signed and executed,
,,,,,,,,,,,,,,,,,1. Steady state study is complete and is under internal review.,
,,,,,,,,,,,,,,,,,2. Facility Study completed,
,,,,,,,,,,,,,,,,,3. - Short Circuit study is complete and under AEP review,
Generation Interconnection,DM Renewables,Bell County Reese Creek (Morgan Leifester) TASK 3:MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Yara Karam,Behzad Jandaghi,2/12/2025,21-Feb-25,202353,ERCOT,,BESS,,,
Generation Interconnection,DM Renewables,Blanco County (Behrends)] TASK 3:MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Shiva Amini,Behzad Jandaghi,2/12/2025,28-Feb-25,202352,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Clay County Yang TASK 3: ERCOT MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Shiva Amini,Behzad Jandaghi,3/5/2025,12-Mar-25,202350,,,,,,
,,QUALITY TEST,,,,,,,,,,,,,,,,
Generation Interconnection,DM renewables,Behrends storage project in Blanco County T5: Plant Aspen Model,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"5,000",Shiva Amini,Behzad Jandaghi,2/26/2028,28-Feb-25,202352,ERCOT,,BESS,,,
Generation Interconnection,DM RENEWABLES,Taylor County Paul Task 3 MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Anthony Saab,Behzad Jandaghi,3/31/2025,31-Mar-25,202349,ERCOT,,BESS,,,
Generation Interconnection,DM RENEWABLES,Knox County Moore Task 3  MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"8,000",Shiva Amini,Behzad Jandaghi,4/18/2025,28-Apr-25,202356,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Taylor County Paul Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"5,000",Shiva Amini,Behzad Jandaghi,4/21/2025,28-Apr-25,202349,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Knox County Moore Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"5,000",Shiva Amini,Behzad Jandaghi,4/21/2025,28-Apr-25,202356,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Mawson storage project in Wichita County T3: MQT,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"8,000",Yara Karam,Behzad Jandaghi,3/14/2025,28-Mar-25,202351,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Behrends Task 6: ERCOT FIS Material & Models Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"11,000",Shiva Amini,Behzad Jandaghi,7/5/2026,15-Jul-26,202352,ERCOT,,BESS,,aspen?,
Generation Interconnection,DM renewables,Behrends Task 7: ERCOT PSS/E Model Quality Test and Tuning (Update),Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"10,000",Siddhesh Thorat,Behzad Jandaghi,8/1/2026,14-Aug-26,202352,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Paul Task 6: ERCOT FIS Material & Models Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"11,000",Shiva Amini,Behzad Jandaghi,6/20/2026,29-Jun-26,202349,ERCOT,,BESS,,aspen?,
Generation Interconnection,DM renewables,Paul Task 7: ERCOT PSS/E Model Quality Test and Tuning (Update),Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Georgette Khanfour,Bikram Bhandari,7/20/2026,31-Jul-26,202349,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Yang Task 5: ERCOT FIS Material & Models Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"14,000",Shiva Amini,Behzad Jandaghi,6/5/2026,16-Jun-26,202350,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Yang Task 6: ERCOT PSS/E Model Quality Test and Tuning (Update),Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"13,500",Siddhesh Thorat,Behzad Jandaghi,7/20/2026,31-Jul-26,202350,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Mawson Task 5: ERCOT FIS Material & Models Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"14,000",Shiva Amini,Behzad Jandaghi,7/5/2026,15-Jul-26,202351,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Mawson  Task 6: ERCOT PSS/E Model Quality Test and Tuning (Update),Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"10,000",Siddhesh Thorat,Behzad Jandaghi,8/1/2026,14-Aug-26,202351,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Morgan Task 5: ERCOT FIS Material & Models Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"14,000",Shiva Amini,Behzad Jandaghi,6/20/2026,29-Jun-26,202355,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Morgan  Task 6: ERCOT PSS/E Model Quality Test and Tuning (Update),Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Siddhesh Thorat,Behzad Jandaghi,7/20/2026,4-Aug-26,202355,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Morgan Leifester Task 5: ERCOT FIS Material & Models Update,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"14,000",Shiva Amini,Behzad Jandaghi,6/5/2026,16-Jun-26,202353,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Morgan Leifester  Task 6: ERCOT PSS/E Model Quality Test and Tuning (Update),Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Georgette Khanfour,Bikram Bhandari,7/20/2026,31-Jul-26,202353,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Morgan T7- Aspen Model,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"5,000",Shiva Amini,Behzad Jandaghi,6/20/2026,29-Jun-26,202355,ERCOT,,BESS,,,
Generation Interconnection,DM renewables,Paul T8 - Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"3,500",Shiva Amini,Behzad Jandaghi,6/20/2026,29-Jun-26,202349,,,BESS,,,
Generation Interconnection,DM renewables,Behrends T8 - Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"3,500",Shiva Amini,Behzad Jandaghi,7/20/2026,31-Jul-26,202352,,,BESS,,,
Generation Interconnection,DM renewables,Morgan Leifester T7- Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"3,500",Shiva Amini,Behzad Jandaghi,7/20/2026,31-Jul-26,202353,,,BESS,,,
Generation Interconnection,DM renewables,Yang 7- Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"3,500",Shiva Amini,Behzad Jandaghi,7/20/2026,31-Jul-26,202350,,,BESS,,,
Generation Interconnection,DM renewables,Mawson 7- Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"3,500",Shiva Amini,Behzad Jandaghi,7/20/2026,31-Jul-26,202351,,,BESS,,,
TPGEN,Sabanci (Dx tehcnology Services),Oriana Large Load Full Trasnmission Study - SP ,Joelle Abi-Nahed,Lea El Khoury,Fixed,Can be Invoiced - leave open,"22,500",Elias Chedid,Behzad Jandaghi,2/19/2026,28-Feb-26,404049,ERCOT,,load,,battery inactive so only inlcude solar,
Generation Interconnection,Eagle Claw Energy Center,Eagle Claw T2- PSSE MQT,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"13,500",Yara Karam,Sonjoy Roy,6/20/2026,26-Jun-26,403801,ERCOT,,BESS,,,
Generation Interconnection,Eagle Claw Energy Center,Eagle Claw T4-PSCAD model development,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"11,000",Yara Karam,Sonjoy Roy,6/20/2026,26-Jun-26,403801,ERCOT,,BESS,,,
Generation Interconnection,Eagle Claw Energy Center,Eagle Claw T5- PSCAD MQT,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"16,000",Yara Karam,Sonjoy Roy,6/20/2026,26-Jun-26,403801,ERCOT,,BESS,,,
Generation Interconnection,Eagle Claw Energy Center,Eagle Claw T6- PSSE and PSCAD benchmarking,Joelle Abi-Nahed,Sonjoy Roy,Fixed,Can be Invoiced and Closed,"6,000",Yara Karam,Sonjoy Roy,6/20/2026,26-Jun-26,403801,ERCOT,,BESS,,,
Generation Interconnection,East Point Energy,sunset ridge TASK 1: DGR APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"12,610",Georgette Khanfour,Bikram Bhandari,16-Jul,19-Jul-24,,ERCOT,,,,,
Generation Interconnection,East Point Energy,sunset ridge TASK 2: PSS/E Model Quality Test and VRT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"7,905",Georgette Khanfour,Bikram Bhandari,16-Jul,19-Jul-24,,ERCOT,,,,,
,,Tuning,,,,,,,,,,,,,,,,
Generation Interconnection,East Point Energy,sunset ridge TASK 3: PSCAD™ Modeling Support,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"19,370",Georgette Khanfour,Bikram Bhandari,16-Jul,19-Jul-24,,ERCOT,,,,,
Generation Interconnection,East Point Energy,sunset ridge  Task 4: Technical PMO,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,In progress,"5,150",Georgette Khanfour,Bikram Bhandari,,1-Dec-26,,ERCOT,,,,,
Generation Interconnection,EDF Renewable Energy  Inc. ,Catalina T8 - T8 Facility Data and Modeling Support,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"7,000",,,,28-May-24,,WECC,CAISO,wind,,complete by John Zong,
Generation Interconnection,EDF Renewable Energy  Inc. ,Pacific Wind T10 - T10 Facility Data and Modeling Support,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"7,000",,,,18-Jul-24,,WECC,CAISO,wind,,completed by Mohsen,
Generation Interconnection,EDF Renewable Energy  Inc. ,Lunar Solar T10 - T10 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"15,000",,,,20-Feb-25,,ERCOT,,Solar,,,
Generation Interconnection,EDF Renewable Energy  Inc. ,Lunar Solar T2 - T2 FIS Application w/ PUN Load,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"18,000",Anthony Saab,Yang Zhou,,20-Feb-25,,ERCOT,,Solar,,invoice time spent and cancel,
Generation Interconnection,EDF Renewable Energy  Inc. ,Lunar Solar T3 - T3 ERCOT Model Quality Test and VRT Tuning (Load + Generation),Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"15,000",Anthony Saab,Yang Zhou,,20-Feb-25,,ERCOT,,Solar,,,
Generation Interconnection,EDF Renewable Energy  Inc. ,Lunar Solar T4 - T4 FIS Scoping Meeting & Assistance in Negotiation of the FIS Scope,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"2,000",Anthony Saab,Yang Zhou,,20-Feb-25,,ERCOT,,Solar,,,
System Studies,EDF Renewable Energy  Inc. ,Lunar Solar T5 - T5 Reactive Power Compensation Study,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Anthony Saab,Yang Zhou,,20-Feb-25,,ERCOT,,Solar,,,
Generation Interconnection,EDF Renewable Energy  Inc. ,Lunar Solar T6 - T6 PSCAD™ Plant Model Development (Load + Generation),Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"20,000",Anthony Saab,Yang Zhou,,20-Feb-25,,ERCOT,,Solar,,,
Generation Interconnection,EDF Renewable Energy  Inc. ,Lunar Solar T7 - T7 PSCAD™ Model Quality Test,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Anthony Saab,Yang Zhou,,20-Feb-25,,ERCOT,,Solar,,,
Generation Interconnection,EDF Renewable Energy  Inc. ,Lunar Solar T8 - T8 PSCAD™ Model Quality Test,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Anthony Saab,Yang Zhou,,20-Feb-25,,ERCOT,,Solar,,,
Generation Interconnection,EDF Renewable Energy  Inc. ,Lunar Solar T9 - T9 Planning Model & QSA Requirements Support,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"9,000",Anthony Saab,Yang Zhou,,20-Feb-25,,ERCOT,,Solar,,,
Generation Interconnection,EE US DevCo LLC ,Beebalm solar and storage T6 - T6 ERCOT SS & FIS Interconnection Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"35,000",,,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Beebalm solar and storage T7 - T7 ERCOT PSS/E Model Quality Test and VRT Tuning,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"30,000",,,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Beebalm solar and storage T8 - T8 General Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"30,000",,,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Goliad solar and storage T6 - T6 ERCOT SS & FIS Interconnection Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"35,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Goliad solar and storage T7 - T7 ERCOT PSS/E Model Quality Test and VRT Tuning,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"30,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Goliad solar and storage T8 - T8 General Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"30,000",,,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Mantarraya Solar 1 T2 - T2 ERCOT EXPEDITED SS & FIS APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"17,500",Georgette Khanfour,Bikram Bhandari,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Mantarraya Solar 1 T3 - T3 ERCOT MODEL QUALITY TEST AND VRT TUNING,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Mantarraya Solar 1 T4 - T4 PROJECT INTERCONNECTION SUPPORT,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"10,000",,,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Mantarraya Storage T1 - T1 ERCOT Expedited FIS Application,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"17,500",Georgette Khanfour,Bikram Bhandari,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Mantarraya Storage T2 - T2 ERCOT Model Quality Test and VRT Tuning-Storage,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Mantarraya Storage T3 - T3 ERCOT Model Quality Test and VRT Tuning-Storage + Solar,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EE US DevCo LLC ,Mantarraya Storage T4 - T4 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"10,000",,,,1-Dec-24,,ERCOT,,,,,
Generation Interconnection,EG US Devco LLC,First Capitol Task 8 - PSSE MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Abraham Reveles,Behzad Jandaghi,11/21/2025,30-Nov-25,203846 T8,ERCOT,,BESS,,August 2026 QSA and need the restudies completed by June 2026,
,,,,,,,,,,,,,,,,,EPC power. generic pscad ppc because not available,
Generation Interconnection,EG US Devco LLC,First Capitol Task 9- PSCAD Model,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"10,000",Abraham Reveles,Behzad Jandaghi,11/21/2025,30-Nov-25,203846,ERCOT,,BESS,,August 2026 QSA and need the restudies completed by June 2027,
Generation Interconnection,EG US Devco LLC,First Capitol Task 10- PSCAD MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"15,000",Abraham Reveles,Behzad Jandaghi,11/21/2025,30-Nov-25,203846 T10,ERCOT,,BESS,,August 2026 QSA and need the restudies completed by June 2028,
